ID,latitude,longitude,Year of sample,popdef1,popdef2,Sources,Precise location,Notes
M0001,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0002,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0003,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0004,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0005,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0006,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0007,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0008,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0009,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0010,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0011,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0012,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0013,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0014,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0015,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0016,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0017,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0018,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0019,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0020,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0021,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0022,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0023,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0024,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0025,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0026,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0027,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0028,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0029,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0030,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0031,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0032,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0033,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0034,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0035,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0036,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0037,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0038,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0039,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0040,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0041,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0042,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0043,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0044,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0045,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0046,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0047,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0048,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,Same individual as M0188. Removed
M0049,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,Same individual as M0092
M0050,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0051,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0052,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0053,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,
M0054,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0055,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0056,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0057,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0058,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0059,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0060,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0061,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0062,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0063,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0064,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0065,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0066,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0067,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0068,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0069,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0070,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0071,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0072,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0073,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0074,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0075,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0076,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0077,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0078,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0079,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0080,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0081,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,Same individual as M0093
M0082,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0083,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0084,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0085,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0086,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0087,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0088,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0089,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0090,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0091,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,
M0092,-36.283833,174.794831,2017-2020,Leigh,NZ: Other,NZ collaborators,Leigh,Same individual as M0049. Removed
M0093,-35.634802,174.494245,2017-2020,Ngunguru,NZ: Other,NZ collaborators,Ngunguru,Same individual as M0081. Removed
M0094,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,Same individual as M0111. Removed
M0095,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0096,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0097,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0098,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,Same individual as M0186
M0099,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0100,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0101,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0102,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0103,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0104,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0105,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0106,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0107,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,"Same individual as M0187, M0370"
M0108,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0109,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0110,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0111,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,Same individual as M0094
M0112,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0113,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0114,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0115,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0116,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0117,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0118,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0119,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0120,-36.558023,174.32852,2017-2020,Helensville,NZ: Other,NZ collaborators,Helensville,
M0121,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0122,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0123,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0124,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0125,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0126,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0127,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0128,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0129,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0130,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0131,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0132,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0133,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0134,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0135,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0136,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0137,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0138,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0139,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0140,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0141,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0142,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0143,-36.257,175.4349646,2017-2020,Great Barrier Island,NZ: Other,NZ collaborators,Great Barrier Island,
M0144,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0145,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0146,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0147,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0148,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0149,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0150,-37.131263,175.536977,2017-2020,Thames,NZ: Other,NZ collaborators,Thames,
M0151,-39.371174,176.81165,2017-2020,Napier,NZ: Napier,NZ collaborators,Napier,
M0152,-39.371174,176.81165,2017-2020,Napier,NZ: Napier,NZ collaborators,Napier,
M0153,-39.371174,176.81165,2017-2020,Napier,NZ: Napier,NZ collaborators,Napier,
M0154,-39.371174,176.81165,2017-2020,Napier,NZ: Napier,NZ collaborators,Napier,
