"","pop_ALLrecode","subsampled_ID"
"1","Andhra Pradesh","M0274"
"2","Andhra Pradesh","M0275"
"3","Andhra Pradesh","M0276"
"4","Andhra Pradesh","M0277"
"5","Andhra Pradesh","M0278"
"6","Andhra Pradesh","M0279"
"7","Andhra Pradesh","M0283"
"8","Andhra Pradesh","M0284"
"9","Andhra Pradesh","M0285"
"10","Andhra Pradesh","M0286"
"11","AUS: Gold Coast","11548"
"12","AUS: Gold Coast","11534"
"13","AUS: Gold Coast","11523"
"14","AUS: Gold Coast","11525"
"15","AUS: Gold Coast","11529"
"16","AUS: Gold Coast","11546"
"17","AUS: Gold Coast","11531"
"18","AUS: Gold Coast","11550"
"19","AUS: Gold Coast","11537"
"20","AUS: Gold Coast","11538"
"21","AUS: Gold Coast","11544"
"22","AUS: Gold Coast","11530"
"23","AUS: Gold Coast","11545"
"24","AUS: Gold Coast","11549"
"25","AUS: Gold Coast","11521-B"
"26","AUS: Gold Coast","11527"
"27","AUS: Gold Coast","11540"
"28","AUS: Gold Coast","11524"
"29","AUS: Gold Coast","11528"
"30","AUS: Gold Coast","11535"
"31","AUS: Melbourne","M0223a"
"32","AUS: Melbourne","12421"
"33","AUS: Melbourne","12406"
"34","AUS: Melbourne","12416"
"35","AUS: Melbourne","12440"
"36","AUS: Melbourne","12402"
"37","AUS: Melbourne","12409"
"38","AUS: Melbourne","M0217"
"39","AUS: Melbourne","12404"
"40","AUS: Melbourne","12433"
"41","AUS: Melbourne","M0216"
"42","AUS: Melbourne","12423"
"43","AUS: Melbourne","12432"
"44","AUS: Melbourne","12438"
"45","AUS: Melbourne","M0222a"
"46","AUS: Melbourne","M0224a"
"47","AUS: Melbourne","12403"
"48","AUS: Melbourne","12408"
"49","AUS: Melbourne","12437"
"50","AUS: Melbourne","12405"
"51","AUS: Sydney","12727"
"52","AUS: Sydney","12707"
"53","AUS: Sydney","12721"
"54","AUS: Sydney","12728"
"55","AUS: Sydney","M0229a"
"56","AUS: Sydney","12706"
"57","AUS: Sydney","12703"
"58","AUS: Sydney","M0244"
"59","AUS: Sydney","M0235a"
"60","AUS: Sydney","12740"
"61","AUS: Sydney","12717"
"62","AUS: Sydney","12730"
"63","AUS: Sydney","M0243"
"64","AUS: Sydney","12722"
"65","AUS: Sydney","M0230a"
"66","AUS: Sydney","M0228a"
"67","AUS: Sydney","12710"
"68","AUS: Sydney","12709"
"69","AUS: Sydney","M0240"
"70","AUS: Sydney","M0232a"
"71","Fiji","M0199"
"72","Fiji","M0200"
"73","Fiji","M0201"
"74","Fiji","M0202"
"75","Fiji","M0203"
"76","Fiji","M0204"
"77","Fiji","M0205"
"78","Fiji","M0206"
"79","Fiji","M0207"
"80","Fiji","M0208"
"81","Gujarat","M0238"
"82","Hawaii","M0189"
"83","Hawaii","M0190"
"84","Hawaii","M0191"
"85","Hawaii","M0192"
"86","Hawaii","M0193"
"87","Hawaii","M0194"
"88","Hawaii","M0195"
"89","Hawaii","M0196"
"90","Hawaii","M0197"
"91","Hawaii","M0198"
"92","Hawaii","M0253"
"93","Hawaii","M0254"
"94","Hawaii","M0255"
"95","Karnataka","M0287"
"96","Karnataka","M0288"
"97","Karnataka","M0289"
"98","Karnataka","M0290"
"99","Karnataka","M0291"
"100","Karnataka","M0292"
"101","Karnataka","M0293"
"102","Karnataka","M0294"
"103","Karnataka","M0295"
"104","Karnataka","M0296"
"105","Madhya Pradesh","M0317"
"106","Madhya Pradesh","M0318"
"107","Madhya Pradesh","M0319"
"108","Madhya Pradesh","M0320"
"109","Madhya Pradesh","M0321"
"110","Madhya Pradesh","M0322"
"111","Madhya Pradesh","M0323"
"112","Madhya Pradesh","M0324"
"113","Maharashtra","M0209"
"114","Maharashtra","M0220"
"115","Maharashtra","M0307"
"116","Maharashtra","M0308"
"117","Maharashtra","M0309"
"118","Maharashtra","M0310"
"119","Maharashtra","M0311"
"120","NZ: Napier","M0151"
"121","NZ: Napier","M0154"
"122","NZ: Napier","M0330"
"123","NZ: Napier","M0331"
"124","NZ: Napier","M0152"
"125","NZ: Napier","M0156"
